No,Sex,Marital,Age,Income,JobType,Occupation,BorrowingRatio,CreditAppAmount,OtherDebts,DelinquencyInfo,DebtRestruct,Industry,Education,Dependents,OwnHouse,Foreigner,Phone,EmploymentYears,Guarantor,Collateral
1,女,既,51,3350000,2,販売スタッフ,0.42,2910000,1410000,0,0,小売り,4,3,0,0,1,10,0,0
2,女,未,26,5490000,1,高校教員,0.0,3170000,0,0,0,教育,4,2,0,0,1,5,1,1
3,男,未,33,7460000,3,プログラマ,0.43,3210000,3190000,0,0,IT,2,2,0,0,0,12,0,1
4,女,既,28,6910000,1,市役所職員,0.0,2230000,0,0,0,行政,1,0,0,0,1,6,1,1
5,男,既,40,3000000,2,販売スタッフ,0.06,780000,190000,0,0,小売り,1,3,0,0,1,1,1,0
6,女,未,46,2480000,4,ホールスタッフ,0.06,680000,140000,0,0,飲食,1,2,1,0,0,21,0,1
7,女,未,43,4930000,3,介護スタッフ,0.37,1530000,1800000,0,0,サービス,1,2,0,0,1,3,1,0
8,女,既,52,3690000,2,製造オペレーター,0.0,3990000,0,0,1,製造,1,2,0,0,1,26,1,1
9,男,既,53,4760000,1,高校教員,0.39,1270000,1860000,0,0,教育,1,3,0,0,1,30,1,0
10,男,既,29,2280000,4,ホールスタッフ,0.0,390000,0,0,0,飲食,4,1,1,0,1,9,0,1
11,男,未,36,4950000,2,製造オペレーター,0.0,4960000,0,0,0,製造,4,1,0,0,1,7,1,0
12,女,未,35,3980000,4,ホールスタッフ,0.0,380000,0,0,0,飲食,1,1,1,0,1,14,0,1
13,男,未,56,3050000,2,製造オペレーター,0.0,4160000,0,0,0,製造,4,0,0,0,0,18,0,1
14,女,未,56,2470000,4,清掃員,0.09,720000,230000,0,0,サービス,1,0,1,0,0,36,1,0
15,男,既,35,3660000,2,販売スタッフ,0.32,310000,1160000,0,0,小売り,1,1,0,0,0,16,1,0
16,女,未,31,4960000,2,販売スタッフ,0.05,3640000,250000,0,0,小売り,4,1,0,0,1,13,0,1
17,男,未,64,6190000,1,市役所職員,0.0,1400000,0,0,0,行政,4,1,0,0,0,11,1,0
18,女,未,57,4250000,2,製造オペレーター,0.41,4590000,1730000,0,0,製造,2,3,1,0,0,4,0,0
19,男,未,62,2570000,3,介護スタッフ,0.11,2050000,290000,0,0,サービス,4,1,1,0,1,20,0,1
20,女,未,63,3180000,2,製造オペレーター,0.47,4000000,1480000,0,0,製造,1,2,0,0,0,26,0,1
21,男,未,43,4320000,3,介護スタッフ,0.33,1330000,1430000,0,0,サービス,3,2,1,0,1,2,0,1
22,男,未,33,2640000,2,販売スタッフ,0.11,1910000,290000,0,0,小売り,4,0,1,0,0,0,1,0
23,男,未,36,5820000,1,高校教員,0.0,4240000,0,0,0,教育,4,1,0,0,1,13,0,1
24,男,未,26,2300000,4,ホールスタッフ,0.0,4790000,0,0,0,飲食,1,3,1,0,1,1,1,1
25,女,未,32,4740000,2,販売スタッフ,0.28,4780000,1330000,0,0,小売り,2,1,0,0,0,4,0,0
26,女,未,26,2880000,4,ホールスタッフ,0.0,3430000,0,0,0,飲食,4,1,1,0,1,4,1,0
27,女,未,48,6050000,1,高校教員,0.08,1770000,510000,0,0,教育,1,3,1,0,0,10,0,0
28,女,未,33,2090000,4,ホールスタッフ,0.0,3250000,0,0,0,飲食,1,0,0,0,0,8,0,1
29,女,未,30,2370000,4,ホールスタッフ,0.0,1750000,0,0,0,飲食,3,1,0,0,0,3,0,0
30,女,未,43,4910000,3,介護スタッフ,0.0,2990000,0,0,0,サービス,2,1,1,0,1,3,1,1
31,女,未,27,2930000,2,接客スタッフ,0.22,3540000,640000,0,0,サービス,1,2,0,0,0,3,1,0
32,女,既,25,6570000,1,市役所職員,0.48,1550000,3160000,0,0,行政,2,3,0,0,0,3,0,1
33,女,未,42,6500000,3,プログラマ,0.0,1030000,0,0,0,IT,4,0,0,0,0,11,0,0
34,男,未,50,5650000,3,プログラマ,0.0,3300000,0,0,0,IT,4,0,1,0,0,14,1,0
35,男,未,50,4820000,3,店舗販売員,0.29,460000,1400000,0,0,小売り,2,2,0,0,1,29,1,0
36,女,未,58,6000000,1,高校教員,0.33,2170000,2000000,0,0,教育,4,3,0,0,0,13,0,1
37,男,未,61,3170000,4,ホールスタッフ,0.36,2380000,1150000,0,0,飲食,4,1,0,0,0,18,0,1
38,男,未,55,4280000,3,店舗販売員,0.25,1790000,1050000,0,0,小売り,4,1,1,0,0,20,0,1
39,女,未,50,3460000,4,ホールスタッフ,0.0,870000,0,0,0,飲食,3,3,1,0,1,29,0,0
40,女,未,33,5700000,1,市役所職員,0.0,1470000,0,0,0,行政,2,2,1,0,1,1,1,0
41,男,未,47,4890000,1,市役所職員,0.19,4240000,930000,0,0,行政,4,3,1,0,0,22,1,1
42,男,未,45,4550000,2,製造オペレーター,0.38,1540000,1730000,0,0,製造,4,1,1,0,1,4,0,0
43,女,未,43,3770000,4,ホールスタッフ,0.27,1320000,1020000,0,0,飲食,4,3,1,0,0,11,1,0
44,男,未,35,3220000,4,ホールスタッフ,0.27,3270000,880000,0,0,飲食,4,2,0,0,1,0,1,1
45,男,未,64,2900000,3,介護スタッフ,0.0,4070000,0,0,0,サービス,2,0,0,0,1,35,1,1
46,女,未,31,3220000,2,販売スタッフ,0.33,1490000,1060000,0,0,小売り,1,2,1,0,1,12,1,1
47,女,未,35,2990000,2,接客スタッフ,0.19,490000,570000,0,0,サービス,3,3,0,0,1,3,0,1
48,女,既,64,7590000,3,プログラマ,0.0,3000000,0,0,0,IT,2,3,0,0,0,46,0,1
49,女,未,51,5640000,3,プログラマ,0.32,2410000,1780000,0,0,IT,3,2,1,0,1,30,0,1
50,女,未,34,4000000,1,高校教員,0.0,490000,0,0,0,教育,2,3,0,0,0,1,0,1
51,男,未,50,3840000,2,製造オペレーター,0.0,2730000,0,0,0,製造,2,2,0,0,0,26,1,0
52,女,未,64,5210000,1,高校教員,0.0,2040000,0,0,0,教育,3,1,0,0,0,8,1,0
53,女,未,53,2960000,2,接客スタッフ,0.0,380000,0,0,0,サービス,1,3,0,0,0,33,0,1
54,女,既,34,3370000,4,ホールスタッフ,0.0,4200000,0,0,0,飲食,2,0,1,0,0,8,1,0
55,女,未,33,3600000,4,ホールスタッフ,0.35,2240000,1270000,0,0,飲食,1,2,1,0,1,3,1,0
56,男,既,36,6740000,1,市役所職員,0.21,2910000,1410000,0,0,行政,4,2,1,0,1,6,1,0
57,男,未,39,2500000,3,店舗販売員,0.35,4350000,880000,0,0,小売り,2,1,1,0,0,16,0,0
58,男,未,49,3820000,4,ホールスタッフ,0.26,990000,980000,0,0,飲食,3,2,0,0,1,31,1,1
59,女,未,60,7360000,3,プログラマ,0.38,3580000,2810000,0,0,IT,1,2,0,0,1,33,1,1
60,女,未,39,3450000,2,販売スタッフ,0.35,2550000,1210000,0,0,小売り,1,1,0,0,1,14,0,0
61,男,未,47,4210000,2,製造オペレーター,0.0,3290000,0,1,0,製造,2,3,0,0,1,19,1,1
62,男,未,27,4810000,2,製造オペレーター,0.48,3760000,2290000,0,0,製造,2,1,1,0,0,3,0,0
63,女,未,39,3600000,2,接客スタッフ,0.24,4770000,860000,0,0,サービス,4,2,0,0,0,13,1,0
64,男,未,51,4090000,2,販売スタッフ,0.28,860000,1130000,0,0,小売り,1,2,0,0,1,6,1,1
65,男,既,58,3010000,2,販売スタッフ,0.0,680000,0,0,0,小売り,4,0,1,0,0,11,0,1
66,男,未,32,2720000,2,製造オペレーター,0.31,630000,830000,0,0,製造,2,1,0,0,1,1,0,1
67,男,未,60,3340000,4,ホールスタッフ,0.4,2490000,1340000,0,0,飲食,3,0,1,0,0,11,0,0
68,男,未,53,4350000,2,販売スタッフ,0.0,4040000,0,0,0,小売り,4,1,0,0,1,18,0,0
69,男,未,62,2000000,4,ホールスタッフ,0.0,4310000,0,0,0,飲食,2,0,1,0,0,27,1,0
70,男,未,64,6550000,3,プログラマ,0.37,2730000,2440000,0,0,IT,3,0,0,0,0,40,0,1
71,男,既,38,4580000,2,販売スタッフ,0.0,2870000,0,0,0,小売り,4,3,1,0,1,7,1,0
72,女,未,32,4530000,2,販売スタッフ,0.0,4540000,0,0,0,小売り,3,0,1,0,0,6,1,0
73,女,既,47,3290000,4,ホールスタッフ,0.0,3310000,0,0,0,飲食,4,0,1,0,0,16,0,1
74,男,未,32,6980000,1,市役所職員,0.0,1110000,0,1,1,行政,4,2,0,0,1,2,0,1
75,男,未,54,3430000,3,店舗販売員,0.42,2940000,1430000,0,0,小売り,1,2,0,0,1,21,0,0
76,男,既,57,3800000,2,接客スタッフ,0.0,720000,0,0,0,サービス,1,1,1,0,1,34,1,0
77,男,未,47,4600000,2,接客スタッフ,0.47,3090000,2140000,0,0,サービス,3,3,1,0,0,17,1,1
78,男,未,63,5640000,1,高校教員,0.43,4520000,2410000,0,0,教育,3,0,0,0,1,28,1,0
79,女,未,64,5430000,1,高校教員,0.19,4110000,1010000,0,0,教育,2,3,1,0,0,33,1,0
80,男,未,59,5380000,1,市役所職員,0.32,3120000,1710000,0,0,行政,4,3,1,0,1,6,0,0
81,女,未,49,3730000,3,介護スタッフ,0.0,4950000,0,0,0,サービス,1,1,1,0,0,9,0,1
82,男,既,65,7100000,3,プログラマ,0.08,470000,570000,0,0,IT,2,1,0,1,0,45,0,1
83,男,未,34,4050000,1,市役所職員,0.0,800000,0,0,0,行政,4,0,1,0,1,1,1,0
84,男,未,50,3010000,4,ホールスタッフ,0.38,2670000,1150000,0,0,飲食,4,1,0,0,0,31,1,1
85,女,既,45,2520000,2,販売スタッフ,0.0,2520000,0,0,0,小売り,3,2,0,0,0,2,1,1
86,男,既,65,6920000,3,プログラマ,0.12,2770000,850000,0,0,IT,3,2,0,0,0,36,1,1
87,女,未,26,4610000,3,介護スタッフ,0.35,3880000,1630000,0,0,サービス,4,1,0,0,1,8,1,0
88,女,既,62,3300000,2,製造オペレーター,0.08,1290000,270000,0,0,製造,4,2,0,0,0,43,0,0
89,男,未,49,4310000,2,販売スタッフ,0.0,4740000,0,0,0,小売り,4,3,0,0,1,24,0,1
90,女,未,37,3210000,4,ホールスタッフ,0.0,1980000,0,0,0,飲食,4,0,0,0,1,16,0,1
91,女,未,30,3690000,2,製造オペレーター,0.09,810000,350000,0,0,製造,3,1,1,0,0,5,0,1
92,男,既,55,3640000,2,製造オペレーター,0.0,4490000,0,0,0,製造,1,0,1,0,0,10,1,0
93,男,既,49,3980000,2,製造オペレーター,0.0,910000,0,0,0,製造,4,1,0,0,1,0,1,1
94,女,未,51,3450000,2,製造オペレーター,0.0,600000,0,0,0,製造,4,2,1,0,1,32,0,1
95,女,未,32,4040000,2,製造オペレーター,0.49,1830000,1960000,1,0,製造,4,2,0,0,1,14,0,1
96,男,未,30,3340000,2,製造オペレーター,0.15,4240000,500000,0,0,製造,2,2,1,0,1,3,0,0
97,男,未,25,4980000,2,接客スタッフ,0.45,2720000,2260000,0,0,サービス,2,1,1,0,1,2,0,0
98,男,未,63,2510000,2,販売スタッフ,0.28,4200000,700000,0,0,小売り,2,2,0,0,1,41,1,0
99,男,未,64,3310000,2,製造オペレーター,0.15,1730000,480000,0,0,製造,4,3,0,0,0,19,1,1
100,男,既,37,3090000,4,ホールスタッフ,0.0,790000,0,0,0,飲食,4,3,0,0,1,0,0,1
101,女,未,30,5450000,1,市役所職員,0.18,430000,980000,0,0,行政,2,1,1,1,0,8,1,1
102,女,既,55,3070000,3,店舗販売員,0.0,4680000,0,0,0,小売り,4,1,0,0,0,19,0,1
103,女,未,32,3650000,4,ホールスタッフ,0.31,2240000,1120000,0,0,飲食,1,3,1,0,1,1,0,0
104,男,未,52,3640000,4,ホールスタッフ,0.37,4260000,1330000,0,0,飲食,2,0,1,0,0,11,0,0
105,女,既,62,2840000,4,ホールスタッフ,0.0,4900000,0,0,0,飲食,2,1,0,0,1,29,0,1
106,女,既,33,2930000,3,店舗販売員,0.0,2220000,0,0,0,小売り,1,1,0,0,0,9,1,0
107,女,既,29,2540000,4,ホールスタッフ,0.0,1980000,0,1,1,飲食,3,1,0,0,0,4,1,1
108,男,未,45,3600000,4,ホールスタッフ,0.1,4380000,360000,0,0,飲食,4,1,1,0,1,27,1,1
109,女,既,35,4350000,2,製造オペレーター,0.0,2560000,0,0,0,製造,3,2,1,0,0,1,1,0
110,男,既,28,4570000,2,販売スタッフ,0.27,2910000,1240000,0,0,小売り,1,2,1,0,1,2,1,0
111,女,未,34,2820000,2,販売スタッフ,0.24,3590000,690000,0,0,小売り,3,2,0,0,1,10,0,1
112,女,未,48,2240000,4,ホールスタッフ,0.17,4140000,370000,1,0,飲食,2,3,1,0,0,14,0,0
113,男,既,35,2880000,3,店舗販売員,0.0,4700000,0,0,0,小売り,1,1,1,0,1,14,1,1
114,女,既,37,2070000,4,ホールスタッフ,0.36,4600000,750000,0,0,飲食,1,2,0,0,0,0,1,1
115,男,未,30,4510000,3,プログラマ,0.0,4180000,0,0,0,IT,2,0,1,0,0,12,1,1
116,男,既,51,2580000,4,ホールスタッフ,0.17,1070000,450000,0,0,飲食,3,3,1,0,1,11,1,1
117,男,未,53,3160000,3,介護スタッフ,0.42,3030000,1340000,0,0,サービス,4,3,0,0,0,5,0,1
118,男,未,47,4300000,3,介護スタッフ,0.07,4710000,280000,0,0,サービス,4,2,0,0,0,25,1,0
119,女,未,38,4200000,3,介護スタッフ,0.0,930000,0,0,0,サービス,2,1,0,0,1,20,0,1
120,男,未,27,3540000,4,ホールスタッフ,0.06,2630000,220000,0,0,飲食,3,1,1,0,1,4,0,1
121,女,未,50,4070000,2,接客スタッフ,0.32,1340000,1320000,0,0,サービス,1,3,0,0,1,21,0,1
122,女,未,54,3610000,3,介護スタッフ,0.45,1330000,1610000,1,0,サービス,4,2,1,0,1,1,0,0
123,女,既,45,6590000,1,高校教員,0.18,3710000,1210000,0,0,教育,1,0,0,0,1,0,0,1
124,女,未,32,3250000,2,製造オペレーター,0.49,3500000,1580000,1,0,製造,4,0,1,0,0,10,0,0
125,女,未,58,4670000,3,介護スタッフ,0.0,1820000,0,0,0,サービス,1,3,1,0,1,7,1,1
126,男,未,39,4020000,2,接客スタッフ,0.0,1540000,0,0,0,サービス,1,1,1,0,0,16,0,0
127,男,未,62,2810000,2,製造オペレーター,0.0,580000,0,0,0,製造,4,0,0,0,1,9,1,1
128,女,既,60,2880000,3,介護スタッフ,0.3,2350000,850000,0,0,サービス,1,0,1,0,1,34,1,0
129,女,未,31,4000000,2,接客スタッフ,0.16,3610000,640000,1,1,サービス,4,1,0,0,1,2,1,0
130,女,未,32,2890000,2,製造オペレーター,0.0,2560000,0,0,0,製造,2,3,0,0,0,1,1,1
131,女,未,47,6490000,1,高校教員,0.22,4540000,1460000,1,1,教育,2,3,1,0,1,1,1,1
132,男,未,65,4110000,2,製造オペレーター,0.35,2320000,1430000,0,0,製造,4,2,0,0,0,17,0,1
133,男,未,48,2720000,3,店舗販売員,0.33,1440000,900000,0,0,小売り,2,3,0,0,0,24,1,1
134,女,未,57,4940000,2,販売スタッフ,0.44,4450000,2190000,0,0,小売り,4,2,0,0,0,17,0,1
135,女,未,64,4030000,3,店舗販売員,0.0,2200000,0,0,0,小売り,1,1,1,0,0,1,1,1
136,男,未,50,4130000,3,店舗販売員,0.0,2570000,0,0,0,小売り,4,0,0,0,0,30,1,1
137,女,未,29,4210000,1,市役所職員,0.08,2760000,320000,0,0,行政,2,3,1,0,0,3,0,0
138,男,既,47,3270000,3,店舗販売員,0.46,4140000,1500000,0,0,小売り,3,2,1,1,0,26,0,0
139,女,既,26,6890000,1,市役所職員,0.39,3140000,2710000,0,0,行政,3,2,0,0,1,4,0,1
140,女,未,53,2950000,3,店舗販売員,0.17,1740000,490000,0,0,小売り,1,0,1,0,0,16,0,0
141,女,未,55,3200000,4,ホールスタッフ,0.0,3600000,0,0,0,飲食,4,1,0,0,0,20,1,1
142,女,未,64,4130000,2,販売スタッフ,0.17,1910000,700000,0,0,小売り,4,2,0,0,0,39,0,1
143,男,未,59,3460000,2,接客スタッフ,0.0,1890000,0,0,0,サービス,2,2,1,0,1,3,0,1
144,女,既,64,2720000,2,製造オペレーター,0.0,3180000,0,0,0,製造,3,0,0,0,0,25,1,0
145,男,未,32,6020000,1,市役所職員,0.27,690000,1630000,0,0,行政,2,3,0,0,0,10,0,1
146,男,未,61,3110000,2,製造オペレーター,0.0,3140000,0,0,0,製造,1,0,0,0,1,40,1,1
147,男,既,39,6120000,3,プログラマ,0.0,460000,0,0,0,IT,1,1,1,0,1,21,0,0
148,男,未,31,4810000,2,製造オペレーター,0.0,3520000,0,0,0,製造,1,2,1,0,1,2,0,1
149,女,既,32,7000000,1,高校教員,0.0,1670000,0,0,0,教育,4,1,1,0,0,3,1,0
150,女,未,42,4620000,2,製造オペレーター,0.0,3830000,0,1,1,製造,3,2,1,0,1,16,0,1
151,男,未,26,4260000,2,製造オペレーター,0.0,4450000,0,0,0,製造,2,1,1,0,1,2,0,0
152,女,未,50,5530000,1,市役所職員,0.46,3070000,2560000,1,0,行政,2,1,0,0,1,26,1,0
153,男,既,44,2900000,3,介護スタッフ,0.0,4260000,0,0,0,サービス,2,3,0,0,0,9,0,0
154,女,未,44,4700000,3,介護スタッフ,0.0,1910000,0,0,0,サービス,1,2,0,0,0,9,0,0
155,男,未,53,6610000,1,市役所職員,0.0,980000,0,0,0,行政,2,0,0,0,1,11,1,1
156,女,未,63,4620000,2,接客スタッフ,0.24,1050000,1090000,0,0,サービス,3,3,1,0,1,1,0,1
157,女,未,47,6900000,1,市役所職員,0.13,4020000,890000,0,0,行政,4,3,0,0,0,17,0,1
158,男,未,27,3670000,3,店舗販売員,0.0,2130000,0,0,0,小売り,2,2,0,0,0,6,1,0
159,男,既,51,4890000,2,製造オペレーター,0.36,4520000,1760000,1,1,製造,3,2,0,0,1,7,0,1
160,男,既,45,2300000,4,ホールスタッフ,0.0,1140000,0,0,0,飲食,1,2,0,0,1,20,1,0
161,男,既,26,3860000,3,店舗販売員,0.0,4600000,0,0,0,小売り,4,3,0,0,0,1,1,0
162,男,既,57,3020000,4,ホールスタッフ,0.0,2710000,0,0,0,飲食,3,2,1,0,0,12,0,0
163,女,未,63,4090000,3,介護スタッフ,0.33,2210000,1330000,0,0,サービス,3,1,0,0,0,32,1,1
164,女,未,33,3320000,4,ホールスタッフ,0.08,3880000,280000,0,0,飲食,3,2,1,0,1,13,1,1
165,男,未,54,3180000,4,ホールスタッフ,0.0,1860000,0,0,0,飲食,1,3,1,0,1,14,1,0
166,男,未,38,2780000,4,ホールスタッフ,0.0,3660000,0,0,0,飲食,3,2,0,0,1,1,1,0
167,男,未,55,4810000,2,接客スタッフ,0.46,4170000,2200000,0,0,サービス,3,3,0,0,0,11,1,0
168,男,既,43,4980000,2,販売スタッフ,0.11,3590000,570000,0,0,小売り,2,0,1,0,0,5,0,1
169,男,既,48,3190000,2,接客スタッフ,0.0,4560000,0,0,0,サービス,3,2,1,0,1,19,0,1
170,女,既,47,2130000,4,ホールスタッフ,0.45,1710000,960000,0,0,飲食,1,1,1,1,0,23,0,1
171,女,未,45,6810000,3,プログラマ,0.42,2880000,2830000,0,0,IT,1,0,1,0,0,18,0,1
172,女,未,37,4750000,3,介護スタッフ,0.19,3930000,880000,0,0,サービス,2,1,1,0,1,10,1,1
173,女,未,60,4360000,2,接客スタッフ,0.13,4070000,560000,0,0,サービス,3,1,0,0,0,41,1,1
174,男,未,31,5140000,1,市役所職員,0.0,2310000,0,0,0,行政,3,1,1,0,1,2,0,1
175,男,既,62,3220000,4,ホールスタッフ,0.19,4710000,620000,0,0,飲食,4,2,0,0,0,35,0,1
176,男,未,33,3440000,4,ホールスタッフ,0.15,2610000,510000,0,0,飲食,4,1,1,0,1,7,1,0
177,女,未,44,4480000,2,製造オペレーター,0.36,3090000,1620000,0,0,製造,3,0,1,0,1,26,1,0
178,女,未,27,2960000,4,ホールスタッフ,0.0,4170000,0,0,0,飲食,1,0,1,0,1,3,1,1
179,男,未,52,3600000,4,ホールスタッフ,0.42,1390000,1510000,1,0,飲食,2,2,0,0,0,29,0,1
180,男,既,35,4570000,2,販売スタッフ,0.0,780000,0,0,0,小売り,1,3,0,0,1,14,0,1
181,男,未,34,2700000,2,接客スタッフ,0.0,3340000,0,0,0,サービス,1,2,0,0,1,3,1,0
182,男,未,63,7540000,3,プログラマ,0.0,4270000,0,0,0,IT,4,2,0,0,0,29,0,1
183,女,未,46,4680000,3,介護スタッフ,0.0,3440000,0,0,0,サービス,2,2,1,0,0,22,1,1
184,女,未,41,2900000,3,店舗販売員,0.09,1340000,260000,0,0,小売り,3,1,1,0,1,5,1,0
185,男,既,63,4990000,3,介護スタッフ,0.0,1270000,0,0,0,サービス,4,2,0,0,0,28,1,0
186,女,未,53,3360000,4,ホールスタッフ,0.0,1310000,0,0,0,飲食,4,2,1,0,0,5,1,0
187,女,既,28,5640000,1,市役所職員,0.0,1440000,0,0,0,行政,2,2,0,0,1,8,1,1
188,女,未,37,6470000,1,市役所職員,0.11,2260000,680000,0,0,行政,1,3,1,0,0,13,0,1
189,女,未,40,3730000,3,店舗販売員,0.0,920000,0,0,0,小売り,3,3,0,0,1,10,0,0
190,男,既,31,2730000,4,ホールスタッフ,0.28,780000,760000,0,0,飲食,4,0,0,0,0,5,0,1
191,女,未,63,350000,5,無職,0.29,3830000,100000,0,0,なし,1,3,0,0,0,11,0,1
192,男,未,29,3260000,3,介護スタッフ,0.12,890000,400000,1,1,サービス,1,1,1,0,1,3,1,0
193,女,未,64,4890000,1,市役所職員,0.0,4880000,0,0,0,行政,3,2,0,0,1,38,0,0
194,男,既,38,4070000,2,製造オペレーター,0.0,1040000,0,0,0,製造,1,0,1,0,0,2,0,0
195,女,未,27,3430000,2,接客スタッフ,0.46,810000,1580000,0,0,サービス,1,2,1,0,0,5,0,1
196,女,未,57,5540000,1,市役所職員,0.0,1660000,0,0,0,行政,3,2,0,0,1,20,0,0
197,男,未,35,2970000,3,店舗販売員,0.0,1080000,0,0,0,小売り,2,0,0,1,1,10,1,1
